GCF_003469635.1_ASM346963v1_genomic	SGB516	Parabacteroides_merdae
SAMN09947972	SGB401	Listeria_monocytogenes
GCF_001450465.1_WH-SGI-V-07064_genomic	SGB593	Pseudomonas_aeruginosa
SAMN09947970	SGB401	Listeria_monocytogenes
SAMN09947971	SGB401	Listeria_monocytogenes
SAMN09947976	SGB401	Listeria_monocytogenes
SAMN09947977	SGB401	Listeria_monocytogenes
SAMN09947974	SGB401	Listeria_monocytogenes
SAMN09947975	SGB401	Listeria_monocytogenes
GCF_002987835.1_ASM298783v1_genomic	SGB511	Haemophilus_influenzae
GCF_000790405.1_AZPAE14874_genomic	SGB359	Pseudomonas_aeruginosa
GCF_900202715.1_R883_genomic	SGB513	Neisseria_gonorrhoeae
GCF_003469435.1_ASM346943v1_genomic	SGB199	Bacteroides_uniformis
GCF_003474305.1_ASM347430v1_genomic	SGB169	Bacteroides_plebeius
SAMN10796448	SGB344	Bacillus_subtilis
SAMN03145603	SGB464	Peptoniphilus_lacrimalis
SAMN03145604	SGB464	Peptoniphilus_lacrimalis
GCF_003467575.1_ASM346757v1_genomic	SGB286	Parabacteroides_distasonis
GCF_001086655.1_ASM108665v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMN02567326	SGB598	Streptococcus_pyogenes
SAMN02567324	SGB598	Streptococcus_pyogenes
SAMN02567325	SGB598	Streptococcus_pyogenes
NZ_CP017298.1	SGB217	Actinomyces_hongkongensis
SAMN02567329	SGB598	Streptococcus_pyogenes
GCF_001992375.1_ASM199237v1_genomic	SGB343	Burkholderia_cenocepacia
GCF_900075125.1_11983_7_71_genomic	SGB238	Enterobacter_cloacae
SAMN03197988	SGB560	Lactobacillus_salivarius
MG_208972_bin_12	SGB464	Peptoniphilus_lacrimalis
MG_208972_bin_11	SGB198	Lactobacillus_jensenii
MG_208972_bin_10	SGB521	Lactobacillus_iners
GCF_001874995.1_ASM187499v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_003995095.1_ASM399509v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_002096445.1_ASM209644v1_genomic	SGB487	Streptococcus_oralis
SAMN08193675	SGB137	Gardnerella_vaginalis
SAMN08193674	SGB137	Gardnerella_vaginalis
SAMN08193677	SGB137	Gardnerella_vaginalis
SAMN08193676	SGB137	Gardnerella_vaginalis
SAMN08193671	SGB467	Peptoniphilus_lacrimalis
SAMN02729147	SGB603	Enterococcus_faecium
SAMN08193673	SGB137	Gardnerella_vaginalis
SAMN08193672	SGB137	Gardnerella_vaginalis
SAMN03197980	SGB001	Lactobacillus_gasseri
SAMN02729148	SGB603	Enterococcus_faecium
SAMN02729149	SGB603	Enterococcus_faecium
SAMN08193679	SGB464	Peptoniphilus_lacrimalis
SAMN08193678	SGB137	Gardnerella_vaginalis
SAMN07981956	SGB603	Enterococcus_faecium
SAMN07981957	SGB603	Enterococcus_faecium
SAMN07981950	SGB603	Enterococcus_faecium
SAMN07981951	SGB603	Enterococcus_faecium
SAMN07981953	SGB603	Enterococcus_faecium
SAMN07981958	SGB603	Enterococcus_faecium
GCA_002885335.1_ASM288533v1_genomic	SGB056	Akkermansia_muciniphila
SAMN05210135	SGB513	Neisseria_gonorrhoeae
GCF_000543205.1_Stap_aure_GGMC6043_V1_genomic	SGB185	Staphylococcus_aureus
GCF_003842245.1_INS-Nm1114_genomic	SGB513	Neisseria_gonorrhoeae
SAMN02673438	SGB242	Bifidobacterium_longum
SAMN03978804	SGB404	Bifidobacterium_breve
SAMN03978805	SGB404	Bifidobacterium_breve
SAMN03978802	SGB404	Bifidobacterium_breve
SAMN02673437	SGB242	Bifidobacterium_longum
GCF_000572945.1_Stap_aure_WMCA6006_V1_genomic	SGB185	Staphylococcus_aureus
SAMN03978801	SGB404	Bifidobacterium_breve
0055_051_1_4_MRS5_S430-bin_1	SGB020	Gardnerella_vaginalis
GCF_000549045.1_Stap_aure_M1447_V1_genomic	SGB185	Staphylococcus_aureus
SAMN07420949	SGB401	Listeria_monocytogenes
SAMN07420948	SGB401	Listeria_monocytogenes
GCF_900203975.1_22751_genomic	SGB513	Neisseria_gonorrhoeae
SAMN07420941	SGB401	Listeria_monocytogenes
SAMN07420940	SGB401	Listeria_monocytogenes
SAMN07420943	SGB401	Listeria_monocytogenes
SAMN07420942	SGB401	Listeria_monocytogenes
SAMN07420945	SGB401	Listeria_monocytogenes
SAMN07420944	SGB401	Listeria_monocytogenes
SAMN07420947	SGB401	Listeria_monocytogenes
SAMN07420946	SGB401	Listeria_monocytogenes
GCF_001559135.2_ASM155913v2_genomic	SGB087	Serratia_liquefaciens
GCA_004015005.1_ASM401500v1_genomic	SGB056	Akkermansia_muciniphila
SAMN03982942	SGB095	Cutibacterium_acnes
SAMN03982940	SGB095	Cutibacterium_acnes
GCF_000279535.1_ASM27953v1_genomic	SGB321	Streptococcus_infantis
GCF_000535795.1_Stap_aure_M1579_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000554385.1_Stap_aure_M0297_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001542795.2_ASM154279v2_genomic	SGB359	Pseudomonas_aeruginosa
GCF_900200535.1_B210_genomic	SGB513	Neisseria_gonorrhoeae
SAMEA1711616	SGB598	Streptococcus_pyogenes
CM_E09_S837-bin_2	SGB266	Lactobacillus_crispatus
SAMEA1711615	SGB598	Streptococcus_pyogenes
SAMEA1711612	SGB598	Streptococcus_pyogenes
SAMEA1711610	SGB598	Streptococcus_pyogenes
GCF_001722065.1_ASM172206v1_genomic	SGB178	Lactobacillus_brevis
GCF_003472785.1_ASM347278v1_genomic	SGB074	Olsenella
GCF_000595125.1_Stap_aure_DAR5794_V1_genomic	SGB185	Staphylococcus_aureus
SRS078686_bin_4	SGB380	Sneathia_amnii
SRS078686_bin_1	SGB018	Prevotella_amnii
SAMN03988124	SGB598	Streptococcus_pyogenes
SRS078686_bin_3	SGB416	Atopobium_vaginae
SRS078686_bin_2	SGB137	Gardnerella_vaginalis
GCF_001538465.1_12045_8_5_genomic	SGB597	Serratia_ureilytica
GCF_003942305.1_ASM394230v1_genomic	SGB490	Streptococcus_sanguinis
GCF_001578705.1_ASM157870v1_genomic	SGB341	Streptococcus_mitis
GCF_003459625.1_ASM345962v1_genomic	SGB199	Bacteroides_uniformis
SAMN10935806	SGB090	Providencia_rettgeri
GCF_001064835.1_ASM106483v1_genomic	SGB597	Serratia_ureilytica
SAMN07156263	SGB601	Streptococcus_agalactiae
SAMN07156264	SGB601	Streptococcus_agalactiae
SAMN07156265	SGB601	Streptococcus_agalactiae
GCF_002860845.1_ASM286084v1_genomic	SGB190	Streptococcus_parasanguinis
MG_4004001329_bin_44	SGB520	Finegoldia_magna
MG_4004001329_bin_47	SGB281	Streptococcus_anginosus
GCF_000225345.1_ASM22534v1_genomic	SGB419	Roseburia_hominis
SAMN03154069	SGB402	Lactobacillus_rhamnosus
SAMEA3918749	SGB598	Streptococcus_pyogenes
SAMEA3918748	SGB598	Streptococcus_pyogenes
SAMEA3918747	SGB598	Streptococcus_pyogenes
SAMEA3918746	SGB598	Streptococcus_pyogenes
SAMEA3918745	SGB598	Streptococcus_pyogenes
SAMEA3918744	SGB598	Streptococcus_pyogenes
SAMEA3918743	SGB598	Streptococcus_pyogenes
SAMEA3918742	SGB598	Streptococcus_pyogenes
SAMEA3918741	SGB598	Streptococcus_pyogenes
GCF_000793285.1_AZPAE15062_genomic	SGB359	Pseudomonas_aeruginosa
MG_4008501299_bin_46	SGB197	Mycoplasma_hominis
GCF_902501475.1_DSM13712_genomic	SGB572	Collinsella_aerofaciens
GCF_000555445.1_Stap_aure_M0385_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000360985.1_Stap_aure_M0374_V1_genomic	SGB185	Staphylococcus_aureus
GCF_900201605.1_R083_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000793455.1_AZPAE15069_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000520375.1_Pseu_aeru_BWHPSA041_V1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000551185.1_Stap_aure_M0027_V1_genomic	SGB185	Staphylococcus_aureus
GCF_003457545.1_ASM345754v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_900044725.1_14555_6_94_genomic	SGB513	Neisseria_gonorrhoeae
CM_F10_S846-bin_1	SGB266	Lactobacillus_crispatus
GCF_009663755.1_ASM966375v1_genomic	SGB016	Alistipes_finegoldii
GCF_000570255.1_Stap_aure_F43252_V1_genomic	SGB185	Staphylococcus_aureus
GCF_002312195.1_ASM231219v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_002148545.1_ASM214854v1_genomic	SGB513	Neisseria_gonorrhoeae
SAMN05591932	SGB506	Staphylococcus_lugdunensis
GCF_000403115.1_CBD-635_genomic	SGB185	Staphylococcus_aureus
GCF_000319265.1_Plo_1.0_genomic	SGB488	Pediococcus_acidilactici
SAMN03702540	SGB412	Lactococcus_lactis
DZD_CM_09_S777-bin_1	SGB266	Lactobacillus_crispatus
SAMN04576213	SGB242	Bifidobacterium_longum
GCA_900085645	SGB486	Klebsiella_pneumoniae
C0123B2	SGB266	Lactobacillus_crispatus
C0123B3	SGB266	Lactobacillus_crispatus
GCF_003439685.1_ASM343968v1_genomic	SGB199	Bacteroides_uniformis
C0123B1	SGB266	Lactobacillus_crispatus
GCF_004151605.1_ASM415160v1_genomic	SGB288	Enterobacter_cloacae
BD8_bin_1	SGB010	Sneathia_sanguinegens
GCF_900024375.1_14324_4_76_genomic	SGB513	Neisseria_gonorrhoeae
SAMN02603181	SGB242	Bifidobacterium_longum
SAMN04599927	SGB401	Listeria_monocytogenes
SAMN04599926	SGB401	Listeria_monocytogenes
GCF_006539025.1_ASM653902v1_genomic	SGB488	Pediococcus_acidilactici
SAMN07372715	SGB344	Bacillus_subtilis
GCF_000563435.1_Stap_aure_H40583_V1_genomic	SGB185	Staphylococcus_aureus
GCF_003494415.1_ASM349441v1_genomic	SGB511	Haemophilus_influenzae
GCF_900407595.1_PTHi-12424_genomic	SGB511	Haemophilus_influenzae
00510651_bin_12	SGB346	noRef
00510651_bin_10	SGB569	Mobiluncus_mulieris
GCF_001404635.1_13414_6_35_genomic	SGB450	Dorea_longicatena
GCF_001100565.1_6714_3_12_genomic	SGB513	Neisseria_gonorrhoeae
GCF_900027935.1_14324_5_65_genomic	SGB513	Neisseria_gonorrhoeae
GCF_001453405.1_WH-SGI-V-07631_genomic	SGB359	Pseudomonas_aeruginosa
GCF_003469025.1_ASM346902v1_genomic	SGB199	Bacteroides_uniformis
SAMN04958328	SGB401	Listeria_monocytogenes
SAMN04958329	SGB401	Listeria_monocytogenes
SAMN09580380	SGB197	Mycoplasma_hominis
SAMN04958327	SGB401	Listeria_monocytogenes
SAMN04958324	SGB401	Listeria_monocytogenes
SAMN04958325	SGB401	Listeria_monocytogenes
SAMN04958322	SGB401	Listeria_monocytogenes
SAMN04958323	SGB401	Listeria_monocytogenes
SAMN04958321	SGB401	Listeria_monocytogenes
GCA_003436945.1_ASM343694v1_genomic	SGB442	Dorea_formicigenerans
GCF_003935755.1_ASM393575v1_genomic	SGB597	Serratia_ureilytica
GCF_002330735.1_ASM233073v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMN00015391	SGB095	Cutibacterium_acnes
GCF_000793245.1_AZPAE15059_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000026965.1_ASM2696v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_900447525.1_32407_G01_genomic	SGB238	Enterobacter_cloacae
GCF_000550305.1_Stap_aure_M1516_V1_genomic	SGB185	Staphylococcus_aureus
SAMN05413871	SGB603	Enterococcus_faecium
SAMN05413870	SGB603	Enterococcus_faecium
SAMN05413873	SGB603	Enterococcus_faecium
SAMN05413872	SGB603	Enterococcus_faecium
SAMN05413875	SGB603	Enterococcus_faecium
SAMN05413874	SGB603	Enterococcus_faecium
SAMN05413877	SGB603	Enterococcus_faecium
SAMN05413876	SGB603	Enterococcus_faecium
GCA_000195355.2_ASM19535v2_genomic	SGB200	Lactobacillus_helveticus
SAMN05413878	SGB603	Enterococcus_faecium
SAMN03013659	SGB401	Listeria_monocytogenes
GCF_001993645.1_ASM199364v1_genomic	SGB343	Burkholderia_cenocepacia
SAMEA1031435	SGB601	Streptococcus_agalactiae
SAMEA1031434	SGB601	Streptococcus_agalactiae
SAMEA1031437	SGB601	Streptococcus_agalactiae
SAMEA1031431	SGB601	Streptococcus_agalactiae
SAMEA1031430	SGB601	Streptococcus_agalactiae
SAMEA1031433	SGB601	Streptococcus_agalactiae
SAMEA1031432	SGB601	Streptococcus_agalactiae
SAMEA1031439	SGB601	Streptococcus_agalactiae
SAMEA1031438	SGB601	Streptococcus_agalactiae
MG_199199_bin_59	SGB220	noRef
GCF_003493565.1_ASM349356v1_genomic	SGB513	Neisseria_gonorrhoeae
SAMEA4532334	SGB414	Chlamydia_trachomatis
MG_199199_bin_53	SGB394	noRef
MG_199199_bin_54	SGB292	noRef
MG_199199_bin_56	SGB219	noRef
GCF_003938685.1_ASM393868v1_genomic	SGB343	Burkholderia_cenocepacia
SAMN08895450	SGB232	Aerococcus_urinae
SAMN08895451	SGB232	Aerococcus_urinae
SAMN08895452	SGB232	Aerococcus_urinae
SAMN08895453	SGB232	Aerococcus_urinae
SAMN08895454	SGB232	Aerococcus_urinae
SAMN08895455	SGB232	Aerococcus_urinae
GCF_900077995.1_12082_4_57_genomic	SGB238	Enterobacter_cloacae
SAMN08770276	SGB009	Bifidobacterium_adolescentis
SAMN06277565	SGB412	Lactococcus_lactis
GCA_001596995	SGB486	Klebsiella_pneumoniae
GCF_900445585.1_43651_D01_genomic	SGB360	Bacteroides_thetaiotaomicron
GCF_000605225.1_Stap_aure_M13099_V1_genomic	SGB185	Staphylococcus_aureus
GCF_002189505.1_ASM218950v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_001450275.1_WH-SGI-V-07379_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000556745.1_Stap_aure_M0503_V1_genomic	SGB185	Staphylococcus_aureus
GCF_900200835.1_B284_genomic	SGB513	Neisseria_gonorrhoeae
GCF_900039605.1_14555_6_20_genomic	SGB513	Neisseria_gonorrhoeae
SAMN02769898	SGB401	Listeria_monocytogenes
SAMN02769899	SGB401	Listeria_monocytogenes
SAMN02769890	SGB401	Listeria_monocytogenes
SAMN02769891	SGB401	Listeria_monocytogenes
SAMN02769892	SGB401	Listeria_monocytogenes
SAMN02769893	SGB401	Listeria_monocytogenes
SAMN02769894	SGB401	Listeria_monocytogenes
SAMN02769895	SGB401	Listeria_monocytogenes
SAMN02769896	SGB401	Listeria_monocytogenes
SAMN02769897	SGB401	Listeria_monocytogenes
GCF_000542235.1_Stap_aure_UCIM6106_V1_genomic	SGB185	Staphylococcus_aureus
GCF_009024895.1_ASM902489v1_genomic	SGB183	Bacteroides_stercoris
GCF_000530865.1_Stap_aure_M0352_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000547265.1_Stap_aure_M1096_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000583615.1_SauSA0077.0_genomic	SGB185	Staphylococcus_aureus
GCA_002007665	SGB486	Klebsiella_pneumoniae
GCF_900017065.1_14324_4_70_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000327685.2_ASM32768v2_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000792945.1_AZPAE15014_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000960735.1_ASM96073v1_genomic	SGB596	Listeria_monocytogenes
GCF_000573045.1_Stap_aure_MISS6103_V1_genomic	SGB185	Staphylococcus_aureus
SAMN06368648	SGB242	Bifidobacterium_longum
SAMN09734887	SGB180	Bacteroides_dorei
SAMN09734884	SGB242	Bifidobacterium_longum
SAMN09734882	SGB242	Bifidobacterium_longum
GCF_000603125.1_Stap_aure_F91084_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001299075.1_11861_6_26_genomic	SGB399	Enterobacter_cloacae
C0019A1	SGB404	Bifidobacterium_breve
SAMN02463936	SGB452	Fusobacterium_nucleatum
C0019A2	SGB404	Bifidobacterium_breve
C0019A5	SGB404	Bifidobacterium_breve
C0019A4	SGB404	Bifidobacterium_breve
GCF_002986555.1_ASM298655v1_genomic	SGB511	Haemophilus_influenzae
GCF_008421235.1_ASM842123v1_genomic	SGB353	Alistipes_finegoldii
SAMN00000677	SGB598	Streptococcus_pyogenes
SAMEA2272296	SGB414	Chlamydia_trachomatis
SAMN02602919	SGB402	Lactobacillus_rhamnosus
GCF_003798605.1_ASM379860v1_genomic	SGB513	Neisseria_gonorrhoeae
SAMEA1677294	SGB513	Neisseria_gonorrhoeae
SAMEA1677297	SGB513	Neisseria_gonorrhoeae
SAMEA1677292	SGB513	Neisseria_gonorrhoeae
SRS042858_bin_1	SGB266	Lactobacillus_crispatus
GCF_002927095.1_ASM292709v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMN00808981	SGB603	Enterococcus_faecium
GCF_001180905.1_P25_London_12_VIM_2_08_10_genomic	SGB359	Pseudomonas_aeruginosa
GCF_003996645.1_ASM399664v1_genomic	SGB513	Neisseria_gonorrhoeae
SAMN10584526	SGB401	Listeria_monocytogenes
GCF_001065135.1_ASM106513v1_genomic	SGB322	Rothia_mucilaginosa
SAMN07602648	SGB413	Prevotella_intermedia
SAMN07602649	SGB413	Prevotella_intermedia
SAMN03197942	SGB481	Staphylococcus_epidermidis
SAMN04932624	SGB401	Listeria_monocytogenes
GCF_000594485.1_Stap_aure_F20105_V1_genomic	SGB185	Staphylococcus_aureus
SAMN02463887	SGB481	Staphylococcus_epidermidis
SAMN07612368	SGB401	Listeria_monocytogenes
SAMEA4885352	SGB603	Enterococcus_faecium
GCF_000793085.1_AZPAE15021_genomic	SGB359	Pseudomonas_aeruginosa
SAMEA864269	SGB598	Streptococcus_pyogenes
GCF_900201255.1_B364_genomic	SGB513	Neisseria_gonorrhoeae
SAMN06368680	SGB242	Bifidobacterium_longum
SAMN06368681	SGB242	Bifidobacterium_longum
SAMEA864262	SGB598	Streptococcus_pyogenes
SAMEA864263	SGB598	Streptococcus_pyogenes
SAMEA864260	SGB598	Streptococcus_pyogenes
SAMEA864261	SGB598	Streptococcus_pyogenes
SAMEA864266	SGB598	Streptococcus_pyogenes
SAMEA864267	SGB598	Streptococcus_pyogenes
k11_bin_1	SGB266	Lactobacillus_crispatus
SAMEA864265	SGB598	Streptococcus_pyogenes
SAMN02440386	SGB603	Enterococcus_faecium
GCF_001024305.1_ASM102430v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_003942275.1_ASM394227v1_genomic	SGB490	Streptococcus_sanguinis
SAMN04605739	SGB481	Staphylococcus_epidermidis
SAMD00046316	SGB253	Aerococcus_urinae
GCA_002885315.1_ASM288531v1_genomic	SGB056	Akkermansia_muciniphila
GCF_000629445.1_Pseu_aeru_BWH057_V1_genomic	SGB359	Pseudomonas_aeruginosa
SAMN03197368	SGB481	Staphylococcus_epidermidis
SAMN02369388	SGB235	Lactobacillus_acidophilus
SAMN02369387	SGB266	Lactobacillus_crispatus
SAMN02369381	SGB272	Lactobacillus_johnsonii
E3_1733_1310_1_BDMRSCQ16_S154-bin_2-SPLIT	SGB381	Prevotella_timonensis
0795_578_1_1_MRSI9_S903-bin_1	SGB020	Gardnerella_vaginalis
GCF_002007085.1_ASM200708v1_genomic	SGB057	Lactobacillus_reuteri
GCF_000171455.1_ASM17145v1_genomic	SGB185	Staphylococcus_aureus
SAMN11491145	SGB338	Streptococcus_mitis
GCF_900200375.1_B159_genomic	SGB513	Neisseria_gonorrhoeae
GCF_001516385.1_ASM151638v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMEA4884974	SGB603	Enterococcus_faecium
GCF_001404315.1_13414_6_13_genomic	SGB437	Coprococcus_eutactus
GCF_000571895.1_Stap_aure_F13022_V1_genomic	SGB185	Staphylococcus_aureus
GCF_003724615.1_INS-Nm1064_genomic	SGB513	Neisseria_gonorrhoeae
GCF_002192495.1_ASM219249v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_900199915.1_B042_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000790185.1_AZPAE14865_genomic	SGB359	Pseudomonas_aeruginosa
SAMN03850948	SGB407	Enterococcus_faecium
GCF_000386305.2_ASM38630v2_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000580115.1_Stap_aure_W86063_V1_genomic	SGB185	Staphylococcus_aureus
0795_578_1_1_MRSIHK11_S855-bin_1	SGB600	Lactobacillus_jensenii
GCF_900025625.1_14355_8_17_genomic	SGB513	Neisseria_gonorrhoeae
GCF_001452935.1_WH-SGI-V-07258_genomic	SGB359	Pseudomonas_aeruginosa
GCF_900076195.1_11983_6_91_genomic	SGB238	Enterobacter_cloacae
SAMEA2272571	SGB401	Listeria_monocytogenes
SAMN04530870	SGB401	Listeria_monocytogenes
GCF_000578575.1_Stap_aure_T83705_V1_genomic	SGB185	Staphylococcus_aureus
GCF_003799885.1_ASM379988v1_genomic	SGB513	Neisseria_gonorrhoeae
SAMN07974444	SGB563	Citrobacter_koseri
B8_bin_2	SGB420	Gardnerella_vaginalis
d10_bin_1	SGB504	Lachnovaginosum_genomospecies
SAMN07974440	SGB184	Citrobacter_freundii
SAMN07974441	SGB007	Citrobacter_freundii
GCF_001294675.1_ASM129467v1_genomic	SGB593	Pseudomonas_aeruginosa
GCF_001921095.1_TRN6622_genomic	SGB359	Pseudomonas_aeruginosa
CM2262_MRS2_S776-bin_1	SGB481	Staphylococcus_epidermidis
GCF_000595165.1_Stap_aure_DAR5796_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001183125.1_Nm440902_genomic	SGB513	Neisseria_gonorrhoeae
GCF_002159305.1_ASM215930v1_genomic	SGB057	Lactobacillus_reuteri
GCA_002246475	SGB486	Klebsiella_pneumoniae
GCF_900204635.1_22987_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000293245.1_ASM29324v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_003071625.1_ASM307162v1_genomic	SGB597	Serratia_ureilytica
MG_4008501299_bin_1	SGB521	Lactobacillus_iners
GCF_001450045.1_WH-SGI-V-07240_genomic	SGB359	Pseudomonas_aeruginosa
GCF_006334775.1_ASM633477v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_003800385.1_ASM380038v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_002152845.1_ASM215284v1_genomic	SGB597	Serratia_ureilytica
BM3_bin_1	SGB521	Lactobacillus_iners
SAMN10033204	SGB344	Bacillus_subtilis
GCF_000549505.1_Stap_aure_M1345_V1_genomic	SGB185	Staphylococcus_aureus
SAMN09948009	SGB401	Listeria_monocytogenes
SAMN09948008	SGB401	Listeria_monocytogenes
SAMEA3916201	SGB603	Enterococcus_faecium
SAMN09948003	SGB401	Listeria_monocytogenes
SAMN09948002	SGB401	Listeria_monocytogenes
SAMN09948001	SGB401	Listeria_monocytogenes
SAMN09948000	SGB401	Listeria_monocytogenes
SAMN09948007	SGB401	Listeria_monocytogenes
SAMN09948006	SGB401	Listeria_monocytogenes
SAMN09948005	SGB401	Listeria_monocytogenes
SAMN09948004	SGB401	Listeria_monocytogenes
a8_bin_1	SGB137	Gardnerella_vaginalis
GCF_900447335.1_32407_F01_genomic	SGB238	Enterobacter_cloacae
SAMN04962888	SGB481	Staphylococcus_epidermidis
GCF_900025585.1_14555_6_93_genomic	SGB513	Neisseria_gonorrhoeae
SAMN03988148	SGB598	Streptococcus_pyogenes
GCA_001437535.1_ASM143753v1_genomic	SGB200	Lactobacillus_helveticus
SAMN03988144	SGB598	Streptococcus_pyogenes
SAMN03988145	SGB598	Streptococcus_pyogenes
SAMN03988146	SGB598	Streptococcus_pyogenes
SAMN03988147	SGB598	Streptococcus_pyogenes
SAMN03988140	SGB598	Streptococcus_pyogenes
SAMN03988141	SGB598	Streptococcus_pyogenes
SAMN03988142	SGB598	Streptococcus_pyogenes
SAMN03988143	SGB598	Streptococcus_pyogenes
GCF_000361485.1_Stap_aure_M0539_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001449925.1_WH-SGI-V-07231_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000551685.1_Stap_aure_M0069_V1_genomic	SGB185	Staphylococcus_aureus
AD1_bin_2	SGB091	Megasphaera_sp
AD1_bin_1	SGB467	Peptoniphilus_lacrimalis
GCF_003490545.1_ASM349054v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_003842485.1_INS-Nm1051_genomic	SGB513	Neisseria_gonorrhoeae
SAMN02567420	SGB598	Streptococcus_pyogenes
SAMN05216468	SGB404	Bifidobacterium_breve
SAMN02567424	SGB598	Streptococcus_pyogenes
SAMN02567427	SGB598	Streptococcus_pyogenes
SAMN02567426	SGB598	Streptococcus_pyogenes
SAMN02567428	SGB598	Streptococcus_pyogenes
GCF_000578515.1_Stap_aure_F73229_V1_genomic	SGB185	Staphylococcus_aureus
GCF_900205025.1_99607_genomic	SGB513	Neisseria_gonorrhoeae
SAMEA1705923	SGB414	Chlamydia_trachomatis
SAMN01828185	SGB254	Acinetobacter_gyllenbergii
GCF_900200075.1_B088_genomic	SGB513	Neisseria_gonorrhoeae
AD6_bin_1	SGB521	Lactobacillus_iners
SAMN04625602	SGB137	Gardnerella_vaginalis
GCF_900077485.1_12045_4_72_genomic	SGB238	Enterobacter_cloacae
SAMEA4560677	SGB603	Enterococcus_faecium
GCF_000562265.1_Stap_aure_T87972_V1_genomic	SGB185	Staphylococcus_aureus
GCA_002234895	SGB486	Klebsiella_pneumoniae
AA8_bin_1	SGB521	Lactobacillus_iners
AA8_bin_2	SGB266	Lactobacillus_crispatus
C0082B10	SGB061	Prevotella_bivia
SAMEA104016177	SGB251	Gemella_haemolysans
SAMN00991093	SGB601	Streptococcus_agalactiae
SAMN00991092	SGB601	Streptococcus_agalactiae
GCF_002985345.1_ASM298534v1_genomic	SGB511	Haemophilus_influenzae
SAMN00991090	SGB601	Streptococcus_agalactiae
SAMN00991097	SGB601	Streptococcus_agalactiae
SAMN00991096	SGB601	Streptococcus_agalactiae
SAMN00991095	SGB601	Streptococcus_agalactiae
SAMN00991094	SGB601	Streptococcus_agalactiae
SAMN00991099	SGB601	Streptococcus_agalactiae
SAMN00991098	SGB601	Streptococcus_agalactiae
GCF_000177435.1_ASM17743v1_genomic	SGB290	Veillonella_parvula
GCF_900077745.1_12045_5_60_genomic	SGB238	Enterobacter_cloacae
C0007A1	SGB281	Streptococcus_anginosus
GCF_003799955.1_ASM379995v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000792855.1_AZPAE15010_genomic	SGB359	Pseudomonas_aeruginosa
h10_bin_1	SGB521	Lactobacillus_iners
h10_bin_2	SGB521	Lactobacillus_iners
SRS057344_bin_4	SGB600	Lactobacillus_jensenii
SRS057344_bin_1	SGB095	Cutibacterium_acnes
SAMN04884549	SGB401	Listeria_monocytogenes
SAMD00019943	SGB242	Bifidobacterium_longum
AP11_bin_4	SGB380	Sneathia_amnii
AP11_bin_6	SGB430	Gardnerella_vaginalis
GCF_000789495.1_AZPAE15035_genomic	SGB359	Pseudomonas_aeruginosa
AP11_bin_2	SGB010	Sneathia_sanguinegens
AP11_bin_3	SGB504	Lachnovaginosum_genomospecies
GCF_000359905.1_Stap_aure_HI168_V1_genomic	SGB185	Staphylococcus_aureus
GCF_008572245.1_ASM857224v1_genomic	SGB396	Bacteroides_cellulosilyticus
GCF_000528115.1_Stap_aure_M0659_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001697585.1_ASM169758v1_genomic	SGB513	Neisseria_gonorrhoeae
SAMN04286996	SGB481	Staphylococcus_epidermidis
BH6_bin_1	SGB266	Lactobacillus_crispatus
