GCF_003469635.1_ASM346963v1_genomic	SGB516
SAMN09388364	SGB401
SAMN09388365	SGB401
SAMN09388366	SGB401
SAMN09388367	SGB401
SAMN09388361	SGB401
SAMN09388362	SGB401
GCF_000596365.1_Stap_aure_DAR5864_V1_genomic	SGB185
GCA_003061845.1_ASM306184v1_genomic	SGB200
GCF_002989335.1_ASM298933v1_genomic	SGB511
GCF_000526755.1_ASM52675v1_genomic	SGB178
GCF_900033225.1_14555_5_27_genomic	SGB513
SAMN03197659	SGB603
SAMN03197654	SGB481
SAMN03197651	SGB481
SAMN03197652	SGB001
GCF_008571975.1_ASM857197v1_genomic	SGB180
GCF_000262995.1_VRSA10_2_genomic	SGB185
GCF_000560285.1_Stap_aure_M64164_V1_genomic	SGB185
0055_051_1_1_MRS15_S841-bin_1	SGB020
GCF_000793385.1_AZPAE15072_genomic	SGB359
SAMN07736518	SGB184
GCF_001452235.1_WH-SGI-V-07642_genomic	SGB359
SAMN08706662	SGB451
GCF_001420245.1_ASM142024v1_genomic	SGB359
GCF_002326625.1_ASM232662v1_genomic	SGB359
C0107B2	SGB416
SAMN02471502	SGB603
GCF_003390455.1_ASM339045v1_genomic	SGB150
GCA_002885095.1_ASM288509v1_genomic	SGB239
GCF_900077155.1_12045_4_45_genomic	SGB296
SAMN05771130	SGB601
SAMN04955031	SGB602
GCF_000794045.1_AZPAE14947_genomic	SGB359
SAMN02436399	SGB598
GCF_002989275.1_ASM298927v1_genomic	SGB511
GCF_000548985.1_Stap_aure_M1444_V1_genomic	SGB185
SAMEA1711697	SGB598
SAMEA1711694	SGB598
SAMEA1711692	SGB598
SAMEA1711693	SGB598
SAMEA1711690	SGB598
SAMEA1711699	SGB598
GCF_000014465.1_ASM1446v1_genomic	SGB178
SAMN05173250	SGB481
SAMN05173251	SGB481
SAMN05173253	SGB481
GCF_000629525.1_Pseu_aeru_BWH053_V1_genomic	SGB359
GCF_001451245.1_WH-SGI-V-07383_genomic	SGB359
GCF_003995435.1_ASM399543v1_genomic	SGB513
GCF_000264275.1_ASM26427v1_genomic	SGB597
GCF_000533995.1_Stap_aure_M0535_V1_genomic	SGB185
GCF_002135615.1_ASM213561v1_genomic	SGB359
GCF_001981825.1_ASM198182v1_genomic	SGB391
GCF_000535935.1_Stap_aure_M1388_V1_genomic	SGB185
GCF_000547825.1_Stap_aure_M0764_V1_genomic	SGB185
GCA_000694875	SGB486
SAMD00034934	SGB413
GCF_001888905.1_ASM188890v1_genomic	SGB054
SAMN03067789	SGB401
SAMN03067780	SGB401
C0129A5	SGB001
SAMN04481589	SGB601
SAMN04481588	SGB601
SAMN04481587	SGB601
SAMN04481586	SGB601
SAMN04481585	SGB601
SAMN04481584	SGB601
SAMN04481583	SGB601
SAMN04481582	SGB601
GCF_002986595.1_ASM298659v1_genomic	SGB511
GCF_003605765.1_ASM360576v1_genomic	SGB597
SAMN05372052	SGB414
SAMN05372051	SGB414
SAMN05372050	SGB414
GCF_000223925.1_ASM22392v2_genomic	SGB359
GCF_000520335.1_Pseu_aeru_BWHPSA043_V1_genomic	SGB359
GCF_000480535.1_Pseu_aeru_3098_V1_genomic	SGB359
GCF_000481785.1_Pseu_aeru_U2504_V1_genomic	SGB359
SAMN04390120	SGB603
SAMN04390121	SGB603
SAMN04481635	SGB601
SAMN04481634	SGB601
SAMN04481637	SGB601
SAMN04481636	SGB601
SAMN04481631	SGB601
SAMN04481630	SGB601
SAMN04481633	SGB601
SAMN04481632	SGB601
SAMN03198116	SGB603
SAMN03198117	SGB481
SAMN04481639	SGB601
SAMN03198113	SGB402
GCF_002253625.1_ASM225362v1_genomic	SGB057
GCF_001991375.1_ASM199137v1_genomic	SGB343
GCF_001999925.1_ASM199992v1_genomic	SGB343
Mitchell_12_29_17_C07_S627-bin_2	SGB266
SAMN03277709	SGB401
SAMN03277708	SGB401
SAMN00993343	SGB601
SAMN00993342	SGB601
SAMN00993345	SGB601
SAMN00993347	SGB601
SAMN03277701	SGB401
SAMN03277700	SGB401
SAMN03277703	SGB401
SAMN03277705	SGB401
SAMN03277704	SGB401
SAMN03277707	SGB401
SAMN03277706	SGB401
GCF_001022695.1_ASM102269v1_genomic	SGB399
GCF_000569815.1_Stap_aure_M77229_V1_genomic	SGB185
GCF_001451745.1_WH-SGI-V-07494_genomic	SGB359
n6_bin_3	SGB245
GCF_000959945.1_ASM95994v1_genomic	SGB421
GCF_000560785.1_Stap_aure_H15665_V1_genomic	SGB185
SAMN04634026	SGB603
SAMN04634027	SGB603
SAMN04634025	SGB603
SAMEA3919119	SGB598
GCF_001449145.1_WH-SGI-V-07060_genomic	SGB359
SAMEA3919111	SGB598
SAMEA3919110	SGB598
GCF_003458365.1_ASM345836v1_genomic	SGB183
SAMEA3919112	SGB598
SAMEA3919115	SGB598
SAMEA3919114	SGB598
SAMEA3919117	SGB598
SAMEA3919116	SGB598
SAMN02338816	SGB513
GCF_000547645.1_Stap_aure_M0753_V1_genomic	SGB185
GCF_001538985.1_12045_8_27_genomic	SGB597
SAMN02338814	SGB513
GCF_003473355.1_ASM347335v1_genomic	SGB074
SAMN09475315	SGB401
SAMN02338811	SGB513
GCF_003944215.1_ASM394421v1_genomic	SGB423
GCF_000535895.1_Stap_aure_M1384_V1_genomic	SGB185
GCF_009025475.1_ASM902547v1_genomic	SGB360
GCF_000629425.1_Pseu_aeru_BWH058_V1_genomic	SGB359
GCF_900036245.1_14555_5_50_genomic	SGB513
SAMN02567594	SGB598
SAMN02567596	SGB598
SAMN02567590	SGB598
GCF_000392695.1_ASM39269v2_genomic	SGB513
GCF_000791085.1_AZPAE14900_genomic	SGB359
GCF_000528895.1_Stap_aure_M0722_V1_genomic	SGB185
GCF_000564035.1_Stap_aure_T39363_V1_genomic	SGB185
SAMN02595254	SGB123
GCF_000572885.1_Stap_aure_LPIH6004_V1_genomic	SGB185
GCF_000174775.1_ASM17477v1_genomic	SGB454
SAMEA2272430	SGB414
GCF_001992955.1_ASM199295v1_genomic	SGB343
SAMN02850639	SGB401
SAMN04014870	SGB283
SAMN02850633	SGB401
SAMN02850632	SGB053
SAMN03277628	SGB401
SAMEA2272439	SGB381
SAMN02991394	SGB401
SAMN02991392	SGB401
SAMN02991393	SGB401
GCF_000578535.1_Stap_aure_H38215_V1_genomic	SGB185
m1_bin_1	SGB521
SAMN03277629	SGB401
GCF_900111215.1_IMG-taxon_2606217755_annotated_assembly_genomic	SGB491
GCF_902373755.1_MGYG-HGUT-01306_genomic	SGB422
GCF_000160415.1_ASM16041v1_genomic	SGB185
SAMN05213949	SGB601
SAMN05213948	SGB601
E4_1683_1263_1_BDMRSCQ3_S182-bin_1-SPLIT	SGB137
GCF_001180425.1_P5_London_26_VIM_2_01_09_genomic	SGB359
GCF_000556385.1_Stap_aure_M0465_V1_genomic	SGB185
SAMN04429784	SGB401
GCF_000362385.1_Stap_aure_M0998_V1_genomic	SGB185
GCF_000596545.1_Stap_aure_T70944_V1_genomic	SGB185
SAMN00117214	SGB570
SAMN03462183	SGB401
SAMN03462182	SGB401
SAMN03462181	SGB401
SAMN03462180	SGB401
SAMN03462187	SGB401
SAMN03462186	SGB401
SAMN03462184	SGB401
SAMN03462189	SGB401
SAMN03462188	SGB401
GCF_002192775.1_ASM219277v1_genomic	SGB359
SRS011111_bin_20	SGB137
GCF_000412495.1_PA_17_SmallColonyVariant_genomic	SGB359
SAMN10249055	SGB603
GCF_000593025.1_Stap_aure_M1179_V1_genomic	SGB185
SAMN10249053	SGB603
SAMN10249058	SGB603
GCF_000596205.1_Stap_aure_DAR5854_V1_genomic	SGB185
GCF_900200805.1_B256_genomic	SGB513
GCF_000247255.1_ASM24725v2_genomic	SGB185
GCF_002985615.1_ASM298561v1_genomic	SGB511
GCF_000575645.1_Stap_aure_M1139_V1_genomic	SGB185
SAMN08563018	SGB598
GCF_900199795.1_B109_genomic	SGB513
SAMN09734808	SGB179
SAMN09734809	SGB180
SAMN06173169	SGB174
SAMN06173168	SGB173
GCF_000541635.1_Stap_aure_FVRH6035_V1_genomic	SGB185
SAMN06173165	SGB174
SAMN06173164	SGB174
SAMN06173167	SGB174
SAMN06173166	SGB174
SAMN06173161	SGB174
SAMN06173160	SGB174
SAMN06173163	SGB174
GCF_000413395.1_Bact_ster_CC31F_V1_genomic	SGB183
GCA_001317015	SGB486
C0003C4	SGB061
C0003C5	SGB061
C0003C2	SGB061
C0003C3	SGB061
GCF_002318135.1_ASM231813v1_genomic	SGB513
SAMN10824005	SGB603
GCF_000558185.1_Stap_aure_M0615_V1_genomic	SGB185
GCF_000533055.1_Stap_aure_M1475_V1_genomic	SGB185
JKR_P1_14_F02_S686_001-bin_1	SGB266
GCF_900202245.1_R575_genomic	SGB513
SAMN06173297	SGB418
MG_205081_bin_22	SGB417
GCF_000533575.1_Stap_aure_M0291_V1_genomic	SGB185
SAMEA4885602	SGB603
GCA_000183605.2_ASM18360v1_genomic	SGB609
SAMEA2448470	SGB513
GCF_003799605.1_ASM379960v1_genomic	SGB513
GCF_000629145.1_Pseu_aeru_BWH029_V1_genomic	SGB359
GCF_001554325.1_ASM155432v1_genomic	SGB359
GCF_001679325.1_ASM167932v1_genomic	SGB150
GCF_001554665.1_ASM155466v1_genomic	SGB359
GCF_001910105.1_ASM191010v1_genomic	SGB359
GCF_003995845.1_ASM399584v1_genomic	SGB513
GCF_003492275.1_ASM349227v1_genomic	SGB513
GCF_007896775.1_ASM789677v1_genomic	SGB286
MG_4003901259_bin_1	SGB374
GCF_003470495.1_ASM347049v1_genomic	SGB199
MG_4003901259_bin_6	SGB416
GCF_002312245.1_ASM231224v1_genomic	SGB359
SAMEA3918777	SGB598
GCF_000541655.1_Stap_aure_WAMC6030_V1_genomic	SGB185
GCA_000273725.1_Bact_cacc_CL03T12C61_V1_genomic	SGB280
GCF_900076325.1_12045_5_6_genomic	SGB238
SAMN03197490	SGB481
SAMN03197491	SGB481
GCF_002987315.1_ASM298731v1_genomic	SGB511
GCF_001554935.1_ASM155493v1_genomic	SGB359
GCF_900408015.1_PTHi-3511_genomic	SGB511
SAMEA51822418	SGB404
GCF_002193825.1_ASM219382v1_genomic	SGB359
GCF_000315465.1_Acti_mass_ACS-171-V-COL2_V1_genomic	SGB608
SAMN00993660	SGB601
GCF_002278265.1_ASM227826v1_genomic	SGB399
C0042D1	SGB467
GCF_002901365.1_ASM290136v1_genomic	SGB238
SAMN02469575	SGB092
GCF_000558165.1_Stap_aure_M0613_V1_genomic	SGB185
GCF_900076305.1_12045_5_7_genomic	SGB238
GCF_000555245.1_Stap_aure_M0369_V1_genomic	SGB185
GCF_002987015.1_ASM298701v1_genomic	SGB511
E6_1456_1083_3_BDMRSCQ18_S104-bin_1-SPLIT	SGB082
SAMN00001908	SGB398
GCF_000529575.1_Stap_aure_M0524_V1_genomic	SGB185
GCF_000361565.1_Stap_aure_M0571_V1_genomic	SGB185
GCF_000606125.1_Stap_aure_F16533_V1_genomic	SGB185
GCF_000587315.1_Stap_aure_M67938_V1_genomic	SGB185
GCF_003494885.1_ASM349488v1_genomic	SGB513
SAMN00001902	SGB408
GCF_002845685.1_ASM284568v1_genomic	SGB513
SAMN00001907	SGB003
SAMN00001905	SGB600
SAMEA2272062	SGB414
SAMN09734781	SGB412
SAMN09734782	SGB242
SAMN09734785	SGB242
SAMN09734784	SGB265
SAMN09734786	SGB009
SAMEA1031512	SGB601
GCA_003204055.1_ASM320405v1_genomic	SGB200
SAMN08556197	SGB598
GCA_002333325.1_ASM233332v1_genomic	SGB013
GCF_002017995.1_ASM201799v1_genomic	SGB178
GCF_002750655.1_ASM275065v1_genomic	SGB391
SAMN08093360	SGB009
CM_B09_S834-bin_1	SGB266
GCF_000328045.2_ASM32804v2_genomic	SGB513
SAMEA1031515	SGB601
GCF_000751195.1_Serratia_assembly_genomic	SGB597
GCF_900076315.1_12045_5_5_genomic	SGB238
GCF_000362045.1_Stap_aure_M0823_V1_genomic	SGB185
SRR6748186_bin_1	SGB521
SAMN04338419	SGB603
GCF_001765715.1_ASM176571v1_genomic	SGB359
GCF_000540535.1_Stap_aure_PLAC6004_V1_genomic	SGB185
SAMN04338411	SGB603
GCF_003494825.1_ASM349482v1_genomic	SGB513
GCF_000794625.1_AZPAE14693_genomic	SGB359
SAMN02265468	SGB401
SAMN02265469	SGB401
GCF_000629105.1_Pseu_aeru_BWH031_V1_genomic	SGB359
SAMN02442021	SGB404
SAMN02442020	SGB242
GCF_003600565.1_ASM360056v1_genomic	SGB513
GCF_001075675.1_ASM107567v1_genomic	SGB487
GCF_000154525.1_ASM15452v1_genomic	SGB183
GCF_000544205.1_Stap_aure_M0826_V1_genomic	SGB185
GCF_001471435.1_ASM147143v2_genomic	SGB359
SAMN10869098	SGB603
SAMN10869099	SGB603
SAMN10869094	SGB603
SAMN10869095	SGB603
SAMN10869096	SGB603
SAMN10869097	SGB603
SAMN10869090	SGB603
SAMN10869091	SGB603
SAMN10869092	SGB407
SAMN10869093	SGB603
GCF_000738535.1_ASM73853v1_genomic	SGB597
GCF_001703855.1_ASM170385v1_genomic	SGB057
GCF_000242535.1_ASM24253v2_genomic	SGB185
GCA_000375645.1_ASM37564v1_genomic	SGB002
SAMN06445345	SGB408
SAMN06445344	SGB601
GCF_001072035.1_ASM107203v1_genomic	SGB487
SAMN03196988	SGB481
SAMEA72823168	SGB401
GCA_004167735.1_ASM416773v1_genomic	SGB175
SAMN03196982	SGB481
GCF_000547605.1_Stap_aure_M0747_V1_genomic	SGB185
SAMN03196987	SGB481
SAMN03196986	SGB481
SAMN03196985	SGB481
SAMN03196984	SGB481
SAMN00116878	SGB481
SAMN00116879	SGB481
GCF_003466465.1_ASM346646v1_genomic	SGB180
SAMN09736542	SGB242
SAMN00116873	SGB506
SRR6747953_bin_1	SGB266
SRR6747953_bin_2	SGB266
MG_4004001329_bin_23	SGB573
MG_4004001329_bin_20	SGB398
GCF_004802305.1_ASM480230v1_genomic	SGB511
SAMEA18408418	SGB603
SAMEA1690327	SGB513
GCF_001703935.1_ASM170393v1_genomic	SGB057
GCF_000604485.1_Stap_aure_W53395_V1_genomic	SGB185
GCF_003175035.1_ASM317503v1_genomic	SGB057
GCF_003495385.1_ASM349538v1_genomic	SGB513
SAMEA2272807	SGB053
GCF_000587475.1_Stap_aure_H65883_V1_genomic	SGB185
GCF_002266385.1_ASM226638v1_genomic	SGB399
GCF_000535775.1_Stap_aure_M1561_V1_genomic	SGB185
0756_546_1_1_BHK1_S872-bin_1	SGB084
GCF_003490745.1_ASM349074v1_genomic	SGB513
GCF_003496945.1_ASM349694v1_genomic	SGB511
GCF_900048025.1_14355_6_79_genomic	SGB513
SAMN10742484	SGB344
GCF_001053535.1_ASM105353v1_genomic	SGB150
GCF_000561025.1_Stap_aure_M16220_V1_genomic	SGB185
SAMEA1690322	SGB513
SAMN05150382	SGB392
GCF_001373875.1_246_Rw30_contigs_500_genomic	SGB359
GCF_000544985.1_Stap_aure_M0894_V1_genomic	SGB185
GCF_003469115.1_ASM346911v1_genomic	SGB516
GCF_900076365.1_12045_5_12_genomic	SGB431
JKR_P2_49_A07_S817_001-bin_1	SGB297
GCF_000361225.1_Stap_aure_M0460_V1_genomic	SGB185
GCF_003799825.1_ASM379982v1_genomic	SGB513
E3_1733_1310_1_BDMRSCQ16_S154-bin_1-SPLIT	SGB084
GCF_001374415.1_209_15_321Gb_contigs_500_genomic	SGB359
GCF_900459545.1	SGB491
GCF_001374975.1_259_Rw151_contigs_500_genomic	SGB359
GCF_000647935.2_ASM64793v3_genomic	SGB359
0809_588_1_1_MRSIHK3_S781-bin_2	SGB171
GCF_000596085.1_Stap_aure_DAR5847_V1_genomic	SGB185
SAMN04530852	SGB401
SAMN04530853	SGB401
SAMN04530850	SGB401
SAMN04530851	SGB401
SAMN04530856	SGB401
SAMN04530857	SGB401
SAMN04530854	SGB401
GCF_000293285.1_ASM29328v1_genomic	SGB513
SAMN04530858	SGB401
SAMN04530859	SGB401
GCF_900204035.1_22752_genomic	SGB513
GCF_000532335.1_Stap_aure_M1052_V1_genomic	SGB185
GCF_000387085.2_ASM38708v2_genomic	SGB513
GCF_000574645.1_Stap_aure_M1227_V1_genomic	SGB185
GCF_001181645.1_E9_London_17_VIM_2_04_13_genomic	SGB359
SAMEA3649042	SGB598
SAMEA23863918	SGB407
GCA_001030825	SGB486
SAMN08193732	SGB284
SAMN08193733	SGB490
SAMN08193735	SGB588
MG_177947_bin_18	SGB346
MG_177947_bin_14	SGB096
MG_177947_bin_13	SGB245
GCA_000301735.1_ASM30173v1_genomic	SGB013
GCF_003841845.1_INS-Nm1143_genomic	SGB513
SAMD00047595	SGB265
SAMD00047596	SGB404
SAMD00047597	SGB404
SAMD00047598	SGB404
GCF_900075575.1_11983_6_18_genomic	SGB238
GCF_900201035.1_B288_genomic	SGB513
GCF_002985465.1_ASM298546v1_genomic	SGB511
SAMD00047602	SGB404
GCF_900204385.1_22826_genomic	SGB513
GCF_003666905.1_ASM366690v1_genomic	SGB597
GCF_000561425.1_Stap_aure_M24390_V1_genomic	SGB185
GCF_000543165.1_Stap_aure_UCIM6147_V1_genomic	SGB185
SAMN07981942	SGB603
SAMN00808919	SGB123
SAMN00808918	SGB603
SAMN00808917	SGB603
SAMN00808916	SGB603
SAMN00808915	SGB603
SAMN00808914	SGB603
SAMN00808913	SGB123
SAMN00808912	SGB603
GCF_001373655.1_235_Rw146_contigs_500_genomic	SGB359
SAMN00808910	SGB603
GCF_000556565.1_Stap_aure_M0482_V1_genomic	SGB185
SAMN02900673	SGB412
GCA_002885165.1_ASM288516v1_genomic	SGB056
SAMN00117455	SGB481
SAMN00117454	SGB481
SAMN00117450	SGB481
SAMN00117453	SGB481
GCF_003437495.1_ASM343749v1_genomic	SGB286
C0101A1	SGB471
GCF_001536365.1_12082_3_76_genomic	SGB597
GCF_000429205.1_ASM42920v1_genomic	SGB575
GCA_001999385.1_ASM199938v1_genomic	SGB273
GCF_001067015.1_ASM106701v1_genomic	SGB597
GCF_002253875.1_ASM225387v1_genomic	SGB057
GCF_001909655.1_ASM190965v1_genomic	SGB359
GCF_900075765.1_11983_6_42_genomic	SGB238
JKR_P2_29_E04_S797_001-bin_2	SGB394
GCF_900029855.1_14555_5_41_genomic	SGB513
JKR_P2_29_E04_S797_001-bin_1	SGB435
GCF_003842285.1_INS-Nm1108_genomic	SGB513
GCF_000796145.1_AZPAE14404_genomic	SGB359
SAMEA1027094	SGB598
GCF_002845805.1_ASM284580v1_genomic	SGB513
GCF_900037275.1_14324_4_47_genomic	SGB513
GCF_900215765.1_J156a-v1_genomic	SGB391
SRR6748132_bin_2	SGB464
SRR6748132_bin_1	SGB521
SAMN02436580	SGB124
GCF_000607125.1_Stap_aure_W89577_V1_genomic	SGB185
SAMN02567335	SGB598
SAMN04600018	SGB401
SAMN04600019	SGB401
GCF_000327545.2_ASM32754v2_genomic	SGB513
SAMN04600014	SGB401
SAMN04600015	SGB401
SAMN04600016	SGB401
SAMN04600017	SGB401
SAMN04600010	SGB401
SAMN04600011	SGB401
SAMN04600012	SGB401
SAMN04600013	SGB401
SAMN00001486	SGB283
GCF_001028745.1_RN21_genomic	SGB359
MG_181775_bin_12	SGB244
MG_181775_bin_10	SGB240
GCF_001451945.1_WH-SGI-V-07618_genomic	SGB593
SAMN00001483	SGB560
GCF_000529995.1_Stap_aure_M0379_V1_genomic	SGB185
0795_578_1_1_LKV2_S434-bin_1	SGB492
MG_185275_bin_24	SGB420
MG_185275_bin_22	SGB601
MG_185275_bin_23	SGB521
GCF_000796295.1_AZPAE14442_genomic	SGB359
MG_185275_bin_28	SGB380
MG_185275_bin_29	SGB244
GCF_900407635.1_PTHi-13033_genomic	SGB511
GCF_003494425.1_ASM349442v1_genomic	SGB513
0809_588_1_1_MRSI6_S845-bin_1	SGB576
GCF_006149185.1_ASM614918v1_genomic	SGB286
GCF_003203155.1_ASM320315v1_genomic	SGB511
GCF_001538645.1_12082_3_15_genomic	SGB597
GCF_900200125.1_B103_genomic	SGB513
GCF_000794845.1_AZPAE14725_genomic	SGB359
GCF_900077355.1_12045_4_62_genomic	SGB238
GCF_000557885.1_Stap_aure_M0592_V1_genomic	SGB185
GCF_001067395.1_ASM106739v1_genomic	SGB359
GCF_009648575.1_ASM964857v1_genomic	SGB596
GCF_000547785.1_Stap_aure_M0762_V1_genomic	SGB185
GCF_000191225.1_ASM19122v2_genomic	SGB513
E7_1841_1391_1_CBA2_S98-bin_1-SPLIT	SGB464
GCF_002990865.1_ASM299086v1_genomic	SGB511
GCF_000530665.1_Stap_aure_M0299_V1_genomic	SGB185
GCF_002330505.1_ASM233050v1_genomic	SGB359
SAMN08628413	SGB603
SAMN03197216	SGB481
GCF_003496435.1_ASM349643v1_genomic	SGB513
SAMN08628411	SGB603
GCF_000563595.1_Stap_aure_H70821_V1_genomic	SGB185
GCF_002985125.1_ASM298512v1_genomic	SGB511
GCF_902501435.1_MC2_genomic	SGB218
GCF_002810285.1_ASM281028v1_genomic	SGB597
GCF_001066645.1_ASM106664v1_genomic	SGB359
GCF_000556765.1_Stap_aure_M0505_V1_genomic	SGB185
SAMN08723037	SGB401
SAMEA3919098	SGB598
SAMEA3919099	SGB598
SAMEA3919094	SGB598
SAMEA3919095	SGB598
0861_630_1_1_MRSI1_rep2_S857-bin_3	SGB521
SAMEA3919097	SGB598
SAMEA3919090	SGB598
SAMEA3919091	SGB598
SAMEA3919092	SGB598
SAMEA3919093	SGB598
GCF_001155085.1_6714_2_11_genomic	SGB513
GCF_000577305.1_Stap_aure_F53393_V1_genomic	SGB185
GCF_000535215.1_Stap_aure_M0906_V1_genomic	SGB185
SAMN05006656	SGB603
GCF_003958175.1_ASM395817v1_genomic	SGB597
GCF_900407375.1_PTHi-10999_genomic	SGB511
GCF_000564685.1_Stap_aure_W64953_V1_genomic	SGB185
SAMN02333862	SGB603
SAMN02333863	SGB603
SAMN08580105	SGB577
SAMN02333864	SGB603
C0088D4	SGB061
GCF_002136365.1_ASM213636v1_genomic	SGB359
GCF_900475505.1_42925_G01_genomic	SGB490
GCF_000577475.1_Stap_aure_H25869_V1_genomic	SGB185
GCF_000607585.1_Stap_aure_DAR3578_V1_genomic	SGB185
GCF_001452745.1_WH-SGI-V-07707_genomic	SGB359
GCF_000536135.1_Stap_aure_M1488_V1_genomic	SGB185
GCF_000604465.1_Stap_aure_W13012_022013_V1_genomic	SGB185
GCF_001034955.1_ASM103495v1_genomic	SGB359
SAMN02729154	SGB603
GCF_000263035.1_VRSA11b_2_genomic	SGB185
GCF_000336335.1_S.aureus_120_genomic	SGB185
GCF_900036235.1_14324_4_89_genomic	SGB513
GCF_000148565.1_ASM14856v1_genomic	SGB487
GCF_001067065.1_ASM106706v1_genomic	SGB359
GCF_000533235.1_Stap_aure_M0039_V1_genomic	SGB185
GCF_000791025.1_AZPAE14897_genomic	SGB359
GCF_003995975.1_ASM399597v1_genomic	SGB513
GCF_000563115.1_Stap_aure_F63154_V1_genomic	SGB185
SAMN07955964	SGB413
GCF_000532935.1_Stap_aure_M1287_V1_genomic	SGB185
SAMN07955960	SGB413
SAMN07955963	SGB413
SAMN05410715	SGB401
SAMN05410714	SGB401
SAMN05410717	SGB401
SAMN05410716	SGB401
SAMN05410711	SGB401
SAMN05410710	SGB401
SAMN05410713	SGB401
GCF_002000985.1	SGB491
GCF_000154845.1_ASM15484v1_genomic	SGB422
GCF_000203195.1_ASM20319v1_genomic	SGB491
GCF_001703795.1_ASM170379v1_genomic	SGB513
GCF_001536345.1_12082_2_67_genomic	SGB597
GCF_000545305.1_Stap_aure_M0917_V1_genomic	SGB185
F4_1630_1235_1_CBA5_S251-bin_1-SPLIT	SGB061
GCF_900036695.1_14355_4_6_genomic	SGB513
0421_295_1_1_MRS3_S803-bin_2	SGB266
DZD_CM_06_S774-bin_1	SGB198
GCF_003474535.1_ASM347453v1_genomic	SGB169
SAMN05452976	SGB401
GCF_000988505.1_ASM98850v1_genomic	SGB359
SRS022545_bin_1	SGB521
GCF_900027965.1_14555_5_31_genomic	SGB513
GCF_001053035.1_ASM105303v1_genomic	SGB040
C0008D1	SGB265
C0008D2	SGB265
C0008D3	SGB265
C0008D4	SGB265
C0008D5	SGB265
GCF_001697865.1_ASM169786v1_genomic	SGB513
GCF_000538595.1_Stap_aure_WMCS6019_V1_genomic	SGB185
GCF_000558145.1_Stap_aure_M0612_V1_genomic	SGB185
0861_630_1_1_BHK4_S784-bin_1	SGB097
GCF_000560065.1_Stap_aure_T62328_V1_genomic	SGB185
GCF_000540435.1_Stap_aure_SJUD6028_V1_genomic	SGB185
GCF_000149015.1_ASM14901v1_genomic	SGB185
GCF_003414995.1_ASM341499v1_genomic	SGB511
SAMEA767949	SGB414
SAMN02990217	SGB401
F1_1457_1080_3_MRS3_S229-bin_2-SPLIT	SGB410
GCF_001086645.1_ASM108664v1_genomic	SGB359
SAMEA1711609	SGB598
SAMEA1677393	SGB513
SAMEA1677394	SGB513
SAMN06173319	SGB277
SAMN06173316	SGB569
SAMEA1677399	SGB513
GCF_001993635.1_ASM199363v1_genomic	SGB343
GCA_001460975	SGB486
GCF_001900195.1_ASM190019v1_genomic	SGB359
GCF_000602665.1_Stap_aure_W42196_V1_genomic	SGB185
GCF_000816165.1_ASM81616v1_genomic	SGB513
GCF_001074035.1_ASM107403v1_genomic	SGB490
SAMEA2780149	SGB601
SAMEA2780148	SGB601
SAMEA2780147	SGB601
SAMEA2780146	SGB601
GCF_900078115.1_11983_7_48_genomic	SGB238
GCF_900204455.1_22911_genomic	SGB513
SAMEA2780143	SGB601
SAMEA2780142	SGB601
GCF_000574485.1_Stap_aure_M1237_V1_genomic	SGB185
GCF_003724435.1_INS-Nm1168_genomic	SGB513
SAMN03197866	SGB481
SAMN03197864	SGB563
GCF_002278305.1_ASM227830v1_genomic	SGB485
C0164B3	SGB001
SAMN02369401	SGB521
SAMEA4885012	SGB603
SAMN02369404	SGB600
GCF_003351465.1_ASM335146v1_genomic	SGB511
GCF_000189455.2_ASM18945v3_genomic	SGB185
SAMN00808911	SGB603
GCF_000596005.1_Stap_aure_DAR5841_V1_genomic	SGB185
GCF_003414505.1_ASM341450v1_genomic	SGB511
GCF_001450985.1_WH-SGI-V-07386_genomic	SGB359
GCF_000546405.1_Stap_aure_M1014_V1_genomic	SGB185
GCF_001469435.2_ASM146943v3_genomic	SGB359
SRR6748173_bin_1	SGB266
C0136B5	SGB578
SAMN04590078	SGB414
GCF_000409675.1_lla_2.6_genomic	SGB054
SAMN10790879	SGB344
SAMN10790878	SGB344
GCF_000607745.1_Stap_aure_DAR3592_V1_genomic	SGB185
SAMN10790877	SGB344
GCF_000280745.1_S.aureus_GR1_1.0_genomic	SGB185
SAMN03197288	SGB481
GCF_000360085.1_Stap_aure_M0066_V1_genomic	SGB185
SAMN03197281	SGB481
SAMN03197280	SGB481
SAMN00809226	SGB123
SAMN03097403	SGB265
SAMN00809224	SGB123
SAMN03097401	SGB265
SAMN00809222	SGB123
SAMN00809223	SGB123
SAMN00809220	SGB123
SAMN00809221	SGB123
SAMN00809228	SGB123
SAMN00809229	SGB123
GCF_008011865.1_ASM801186v1_genomic	SGB597
CM_B02_S778-bin_1	SGB266
SAMN09736323	SGB560
SAMEA1035088	SGB409
SAMEA1035089	SGB409
GCF_902388125.1_UHGG_MGYG-HGUT-02540_genomic	SGB325
SAMN09736329	SGB599
SAMEA1035085	SGB409
SAMEA1035086	SGB409
SAMEA1035087	SGB409
SAMEA1035080	SGB409
SAMEA1035081	SGB409
SAMEA1035082	SGB409
SAMEA1035083	SGB409
SAMN02603263	SGB095
SAMN03197130	SGB194
GCF_000571255.1_Stap_aure_H68244_V1_genomic	SGB185
SAMN02873948	SGB401
